date,cellCount,totalMines,passAMoves,canonicalSubsetMoves,genericSubsetMoves,advancedLogicMoves,disjunctiveMoves,wallEdgeCount,zeroClusterCount,fa_count,fb_count,fa_11,fb_11,fa_12,fb_12,fa_hole,fb_hole,fa_triangle,fb_triangle,fa_121,fb_121,fa_1221,fb_1221,fa_131,fb_131,fa_222,fb_222,fa_pair,fb_pair,fa_region,fb_region
2026-05-25,99,26,52,2,0,0,2,0,4,44,0,2,12,0,4,3,0,0,2,0,0,0,0,0,0,0,0,6,26,4,15
2026-05-26,132,25,57,4,5,0,0,7,5,34,0,3,18,6,7,2,0,6,0,0,0,0,0,0,0,0,8,7,17,9,15
2026-05-27,81,23,31,1,2,7,0,7,3,22,0,3,5,4,8,2,0,0,0,0,0,0,0,0,0,0,3,3,9,6,14
2026-05-28,132,19,43,1,0,0,0,6,5,35,0,1,16,3,11,0,0,0,0,0,2,0,0,0,0,0,0,5,6,1,10
2026-05-29,64,9,19,0,0,0,2,0,2,15,0,1,6,2,6,0,0,0,1,0,1,0,0,0,0,0,0,3,1,0,6
2026-05-30,96,26,36,0,5,4,0,7,1,24,0,4,6,3,10,0,0,0,1,0,0,0,0,0,0,0,0,7,3,5,8
2026-05-31,120,25,46,0,0,7,0,5,6,35,0,2,7,2,9,3,0,0,3,0,0,0,0,0,0,1,8,10,14,3,12
2026-06-01,96,29,29,3,9,7,4,0,1,20,0,0,2,3,7,6,4,0,2,0,2,0,0,0,0,1,4,3,9,19,19
2026-06-02,108,28,41,1,2,3,0,7,4,24,0,5,5,4,4,5,3,0,0,0,0,0,0,0,0,0,3,7,22,3,10
2026-06-03,132,37,58,1,3,0,0,0,4,50,0,3,5,3,1,5,0,0,3,0,1,0,0,0,1,0,0,3,3,1,5
2026-06-04,80,13,27,1,0,0,0,6,2,17,0,5,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1,6
2026-06-05,132,40,44,4,6,4,0,0,3,38,0,2,10,1,5,0,0,0,0,0,0,0,0,0,1,0,1,4,11,13,28
2026-06-06,72,13,13,1,3,0,0,7,1,9,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5
2026-06-07,110,31,45,1,0,7,0,0,3,29,0,5,0,4,3,3,0,0,0,0,0,3,0,0,0,0,0,5,0,6,1
2026-06-08,81,22,33,1,0,4,0,0,2,19,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,4,4,10,2
