date,uid,time,bombBaseSum,bombHits,n_hints,archive
2026-05-11,V07QPXYaICOOcP5ev6DXa2yG9y92,107.7,0,1,0,0
2026-05-12,V07QPXYaICOOcP5ev6DXa2yG9y92,108.4,0,2,0,0
2026-05-12,AYXrTjKPieYrZI8sksnYqbI3Pmh1,89.1,0,0,0,0
2026-05-13,V07QPXYaICOOcP5ev6DXa2yG9y92,154.5,0,1,0,0
2026-05-13,AYXrTjKPieYrZI8sksnYqbI3Pmh1,185.1,0,2,0,0
2026-05-14,V07QPXYaICOOcP5ev6DXa2yG9y92,24.5,0,1,0,0
2026-05-14,AYXrTjKPieYrZI8sksnYqbI3Pmh1,46.7,0,1,0,0
2026-05-15,V07QPXYaICOOcP5ev6DXa2yG9y92,103.4,0,0,0,0
2026-05-15,AYXrTjKPieYrZI8sksnYqbI3Pmh1,131.8,0,3,0,0
2026-05-16,V07QPXYaICOOcP5ev6DXa2yG9y92,99.1,0,0,0,0
2026-05-16,AYXrTjKPieYrZI8sksnYqbI3Pmh1,95.7,0,0,0,0
2026-05-17,V07QPXYaICOOcP5ev6DXa2yG9y92,51.4,0,0,0,0
2026-05-17,AYXrTjKPieYrZI8sksnYqbI3Pmh1,44,0,0,0,0
2026-05-18,V07QPXYaICOOcP5ev6DXa2yG9y92,262.2,0,4,0,0
2026-05-18,AYXrTjKPieYrZI8sksnYqbI3Pmh1,137.5,0,1,0,0
2026-05-19,V07QPXYaICOOcP5ev6DXa2yG9y92,29.3,0,1,0,0
2026-05-19,AYXrTjKPieYrZI8sksnYqbI3Pmh1,48.2,0,2,0,0
2026-05-19,l0szSlaOvVb67aYrDzNU7j687BC3,34.1,0,0,0,0
2026-05-20,AYXrTjKPieYrZI8sksnYqbI3Pmh1,44.1,0,0,0,0
2026-05-20,V07QPXYaICOOcP5ev6DXa2yG9y92,44.3,0,0,0,0
2026-05-21,V07QPXYaICOOcP5ev6DXa2yG9y92,76.3,0,0,0,0
2026-05-21,AYXrTjKPieYrZI8sksnYqbI3Pmh1,76,0,0,0,0
2026-05-22,V07QPXYaICOOcP5ev6DXa2yG9y92,70.2,0,0,0,0
2026-05-23,V07QPXYaICOOcP5ev6DXa2yG9y92,150.7,0,3,0,0
2026-05-24,V07QPXYaICOOcP5ev6DXa2yG9y92,77.2,0,0,0,0
2026-05-24,AYXrTjKPieYrZI8sksnYqbI3Pmh1,111.6,0,0,0,0
2026-05-25,V07QPXYaICOOcP5ev6DXa2yG9y92,243,0,1,0,0
2026-05-25,AYXrTjKPieYrZI8sksnYqbI3Pmh1,95.6,0,1,0,0
2026-05-26,V07QPXYaICOOcP5ev6DXa2yG9y92,104.6,0,1,0,0
2026-05-26,AYXrTjKPieYrZI8sksnYqbI3Pmh1,153.4,0,1,0,0
2026-05-27,V07QPXYaICOOcP5ev6DXa2yG9y92,102.1,0,0,0,0
2026-05-27,AYXrTjKPieYrZI8sksnYqbI3Pmh1,80.1,0,0,0,0
2026-05-27,l0szSlaOvVb67aYrDzNU7j687BC3,179.6,0,1,0,0
2026-05-28,AYXrTjKPieYrZI8sksnYqbI3Pmh1,48.3,0,0,0,0
2026-05-28,V07QPXYaICOOcP5ev6DXa2yG9y92,54.8,0,0,0,0
2026-05-29,AYXrTjKPieYrZI8sksnYqbI3Pmh1,17.5,0,0,0,0
2026-05-29,V07QPXYaICOOcP5ev6DXa2yG9y92,36.3,0,1,0,0
2026-05-30,V07QPXYaICOOcP5ev6DXa2yG9y92,125.1,0,0,0,0
2026-05-30,AYXrTjKPieYrZI8sksnYqbI3Pmh1,79.4,0,0,0,0
2026-05-31,V07QPXYaICOOcP5ev6DXa2yG9y92,89.2,0,1,0,0
2026-05-31,AYXrTjKPieYrZI8sksnYqbI3Pmh1,81.4,0,0,0,0
2026-06-01,l0szSlaOvVb67aYrDzNU7j687BC3,218.5,0,2,0,0
2026-06-01,V07QPXYaICOOcP5ev6DXa2yG9y92,187.9,0,3,0,0
2026-06-01,AYXrTjKPieYrZI8sksnYqbI3Pmh1,77.9,0,0,0,0
2026-06-02,V07QPXYaICOOcP5ev6DXa2yG9y92,125.7,0,3,0,0
2026-06-02,AYXrTjKPieYrZI8sksnYqbI3Pmh1,109.6,0,0,0,0
2026-06-03,AYXrTjKPieYrZI8sksnYqbI3Pmh1,100.5,0,0,0,0
2026-06-03,V07QPXYaICOOcP5ev6DXa2yG9y92,147.9,0,2,0,0
2026-06-04,V07QPXYaICOOcP5ev6DXa2yG9y92,33.1,0,0,0,0
2026-06-04,AYXrTjKPieYrZI8sksnYqbI3Pmh1,49,0,1,0,0
2026-06-05,V07QPXYaICOOcP5ev6DXa2yG9y92,149.1,0,1,0,0
2026-06-05,AYXrTjKPieYrZI8sksnYqbI3Pmh1,119.7,0,1,0,0
2026-06-06,l0szSlaOvVb67aYrDzNU7j687BC3,57,0,0,0,0
2026-06-06,V07QPXYaICOOcP5ev6DXa2yG9y92,37.4,0,0,0,0
2026-06-06,AYXrTjKPieYrZI8sksnYqbI3Pmh1,69.4,0,1,0,0
2026-06-07,V07QPXYaICOOcP5ev6DXa2yG9y92,113.3,0,1,0,0
2026-06-07,l0szSlaOvVb67aYrDzNU7j687BC3,233.1,0,3,0,0
